text,label
The rice crop shows gradual yellowing of lower leaves with brown lesions spreading after prolonged rainfall.,1
Maize plants have curled leaves and reduced height with fungal patches visible near the stem base.,1
Chickpea leaves show dark necrotic spots and early leaf drop across several rows.,1
Kidney bean plants exhibit uneven growth with yellow patches and weak stems.,1
Pigeon pea plants wilted suddenly despite sufficient irrigation and roots appear discolored.,1
Moth bean leaves show powdery fungal growth and reduced flowering activity.,1
Mung bean plants show leaf curling and visible insect damage underneath the foliage.,1
Black gram crop displays yellow mosaic patterns with poor pod development.,1
Lentil plants have brown spots on leaves and overall stunted growth.,1
Pomegranate trees show leaf yellowing with cracked fruits and reduced yield.,1
Banana plants show dark streaks on leaves and delayed fruit maturity.,1
Mango trees exhibit black fungal spots and premature fruit drop.,1
Grape vines show white powdery coating and uneven berry formation.,1
Watermelon plants show yellow patches on leaves and rotting near vine joints.,1
Muskmelon plants wilt during peak sunlight hours and show fungal discoloration.,1
Apple trees show browning at leaf margins and reduced fruit size.,1
Orange plants exhibit yellow leaves with black surface spots on fruits.,1
Papaya leaves show circular ring spots and weakened plant structure.,1
Coconut palms show yellowing fronds and decline in nut production.,1
Cotton plants show boll shedding with pest infestation on leaves.,1
Jute crops exhibit stem rot close to soil level and leaf yellowing.,1
Coffee plants show rust-like lesions and reduced flowering intensity.,1
Rice plants display narrow brown streaks on leaf blades with water-soaked margins.,1
Maize ears show incomplete kernel development with visible mold between rows.,1
Chickpea stems show dark water-soaked lesions spreading toward the crown.,1
Kidney bean pods exhibit black sunken spots with white fungal growth inside.,1
Pigeon pea leaves curl inward and show interveinal chlorosis across the field.,1
Moth bean plants show severe leaf scorch with dried edges and brittle stems.,1
Mung bean crop shows yellowing starting from older leaves with progressive spread.,1
Black gram plants display dark angular lesions on leaves with bacterial ooze.,1
Lentil crop shows white cottony growth near soil level indicating damping off.,1
Pomegranate fruits show soft rot with internal browning and foul smell.,1
Banana pseudostem shows internal browning when cut indicating bacterial wilt.,1
Mango inflorescence shows blackening and flower drop before fruit set.,1
Grape berries show brown sunken spots with concentric rings of spore masses.,1
Watermelon vines show sudden collapse with crown rot and orange discoloration.,1
Muskmelon leaves show angular water-soaked spots turning brown and papery.,1
Apple fruits show cork-like brown spots beneath skin indicating bitter pit.,1
Orange trees show twig dieback with gum exudation from infected branches.,1
Papaya plants show distorted young leaves with mosaic discoloration patterns.,1
Coconut palms show bud rot with foul smell and collapse of central spear.,1
Cotton bolls show hard lock with internal fiber discoloration and boll rot.,1
Jute plants show small circular spots on leaves with yellow halos.,1
Coffee berries show dark brown lesions with pink spore masses in wet weather.,1
Rice seedlings show damping off with sudden collapse near soil line.,1
Maize leaves show pale green to yellow streaks running parallel to leaf veins.,1
Chickpea plants show sudden wilt with internal vascular discoloration.,1
Kidney bean leaves display interveinal yellowing with green veins remaining.,1
Pigeon pea pods show dark brown spots reducing seed quality significantly.,1
Moth bean plants display mosaic yellow-green patterns with leaf distortion.,1
Mung bean pods show black discoloration with shriveled seeds inside.,1
Black gram roots show brown discoloration and reduced nodule formation.,1
Lentil plants show orange powdery pustules on lower leaf surfaces.,1
Pomegranate shoots show die-back from tip downward with dark streaking.,1
Banana leaves show yellow streaks running along the midrib.,1
Mango leaves show irregular brown patches with yellow margins.,1
Grape leaves show angular brown spots bounded by leaf veins.,1
Watermelon fruits develop internal rot with hollow cavity and off smell.,1
Muskmelon plants show stem canker at soil line with plant collapse.,1
Apple leaves show olive-green velvety patches on upper surface.,1
Orange fruits show green mold with white mycelium growth after harvest.,1
