cleaned_text,label
kidney bean pods exhibit black sunken spots with white fungal growth inside,1
chilli field shows healthy fruit ripening with uniform red color,0
flax plants show rust with orange powdery pustules on leaves,1
kidney bean stems show dark sunken cankers at and below soil line,1
bitter gourd field shows healthy fruit development with good bitterness,0
orange trees show healthy feeder root development in soil,0
black gram crop displays yellow mosaic patterns with poor pod development,1
mango trees display lush green canopy with no signs of stress,0
lentil plants show steady growth and intact leaf structure,0
pea plants show powdery mildew with white powder on leaves and stems,1
pigeon pea plants display normal stem strength,0
muskmelon crop shows good fruit setting,0
moth bean plants spread uniformly with healthy trifoliate leaves,0
potato field shows healthy vine growth with good tuber initiation,0
cotton plants show healthy square formation with strong lateral branches,0
coffee plants display reduced vigor with leaf spots,1
rice plants show orange powdery rust pustules on leaf sheaths,1
moth bean leaves show powdery fungal growth and reduced flowering activity,1
chilli plants show anthracnose with dark sunken spots on fruits,1
ginger field shows healthy rhizome development with good yield,0
sesame plants show cercospora leaf spot with circular spots on leaves,1
kidney bean crop shows healthy foliage and proper branching,0
moth bean pods are forming well with healthy seeds inside,0
watermelon plants show white powdery coating on leaf surfaces,1
cucumber plants show downy mildew with yellow patches on upper leaf surface,1
apple plants show smooth leaf surface,0
the rice field appears healthy with uniform green leaves and strong tiller formation,0
banana pseudostem shows internal browning when cut indicating bacterial wilt,1
cotton leaves show bright yellow mosaic with stunted plant growth,1
mango crop shows early fruit fall with leaf infections,1
maize plants show excellent ear formation with full kernel development,0
jute crop shows chlorosis and stunting with twisted young leaves,1
coffee plants show branch dieback with coralcolored spore masses,1
barley plants show net blotch with brown diamondshaped spots on leaves,1
rice field shows even crop stand with healthy dark green leaves,0
cabbage plants show healthy compact head formation with firm leaves,0
banana plants show wide healthy leaves with no spots or tears,0
mango fruitlets are developing normally with healthy green color,0
moth bean crop shows shoot tip death with downward curling of leaves,1
apple trees show browning at leaf margins and reduced fruit size,1
potato tubers show late blight rot with brown discoloration and foul smell,1
papaya plants are growing normally with healthy leaf shape,0
papaya fruits are forming normally with healthy skin and firm texture,0
mung bean leaves are smooth and dark green with no abnormalities,0
watermelon plants show yellow patches on leaves and rotting near vine joints,1
orange fruits show healthy green to yellow transition at maturity,0
muskmelon plants are healthy at peak vegetative stage,0
coconut palms show stem bleeding with dark ooze from trunk,1
black gram leaves show small raised pustules that release brown powder,1
turmeric rhizomes show soft rot with foul smell and watery decay,1
cucumber plants show healthy spreading vines with good fruit set,0
pomegranate trees show healthy foliage and proper fruit setting,0
coconut palms show fresh green fronds,0
cowpea plants show yellow mosaic virus with yellowgreen mottling on leaves,1
jute crop shows excellent height gain under warm humid conditions,0
pea plants show ascochyta blight with brown lesions on leaves and pods,1
sugarcane leaves show grassy shoot with excessive tillering and thin shoots,1
sunflower heads show grey mold with fuzzy fungal growth between petals,1
pigeon pea crop shows consistent height with green healthy pods forming,0
onion field shows healthy bulb enlargement with good neck closure,0
pomegranate trees are in full bloom with bright red healthy flowers,0
brinjal fruits show phomopsis blight with brown shrunken lesions,1
chickpea crop shows normal flowering and strong pod development,0
soybean plants show sudden death syndrome with interveinal chlorosis,1
maize plants show downy growth on lower leaf surfaces in humid conditions,1
coconut palms show green fronds and satisfactory nut yield,0
black gram plants display dark angular lesions on leaves with bacterial ooze,1
cotton plants show boll shedding with pest infestation on leaves,1
pigeon pea pods show dark brown spots reducing seed quality significantly,1
pomegranate trees show vibrant green foliage,0
tomato fruits show blossom end rot with dark leathery patches at the tip,1
banana leaves show large irregular brown patches with yellow borders,1
rice tillers show yellowing from base with easy pulling indicating stem borer,1
watermelon fruits develop internal rot with hollow cavity and off smell,1
mung bean plants have healthy leaves and normal pod formation,0
wheat leaves show septoria blotch with tan lesions and pycnidia dots,1
lentil plants are growing steadily with no visible stress,0
sorghum crop shows healthy grain filling with compact panicles,0
papaya leaves display fungal markings,1
cotton field shows uniform stand with healthy square formation,0
lentil plants have brown spots on leaves and overall stunted growth,1
sunflower crop shows healthy seed development with good oil content,0
coffee plants show healthy flower bud swelling after dry spell,0
potato plants show early blight with targetlike concentric spots on leaves,1
mango shoots show tip dieback with dark lesions on young stems,1
black gram plants are erect with dark green leaves and good canopy cover,0
rice crop is at tillering stage with deep green color and no visible stress,0
mung bean plants show healthy third trifoliate emerging,0
cotton leaves show reddish brown spots with concentric rings,1
chickpea pods show dark lesions with pinkish spore masses in wet weather,1
grape vines show reddish discoloration of leaves in early season,1
the rice plants are growing uniformly with healthy green tillers,0
tomato plants are growing vigorously with dark green healthy leaves,0
garlic leaves show rust with orange pustules on leaf surface,1
mung bean crop shows pale leaves with poor flowering,1
papaya plants show distorted young leaves with mosaic discoloration patterns,1
black gram crop shows healthy first flush of flowers opening,0
moth bean crop shows uniform growth with no disease symptoms,0
grape vines show consistent leaf color and healthy fruit clusters,0
mango fruits show black rot at stem end with spreading decay,1
chilli plants show bacterial leaf spot with watersoaked irregular lesions,1
banana plants show healthy sucker development beside mother plant,0
pomegranate trees show leaf yellowing with cracked fruits and reduced yield,1
